"ID","Nom_complet","year","Date_t1","Date_t","delta_time","death_year","delta_DBH","delta_H","Placette","TWI_mean","delta_Lum","dST_juv","dST_adult","dST_juv_mean","dST_adult_mean","Placette_C.L.","Indice_palmier_superposition_m2","Palm_coverage","DBHt1","DBHt","Statut_growth","Treatment",".obsID"
"1.5.7.1","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0,"1.5.7",0.671530797518026,-0.137681061585946,0.0039058989625893,-0.069316491872101,-0.798799747274813,0.320355738832722,"1.5.7",27.7062672515294,-0.442119023436827,15,-0.332126086782231,0,"T0",34
"1.6.5.1","Symphonia sp. 1",1992,1992,1993,1,2002,0,0.115134598254053,"1.6.5",0.412697079065577,0.0955131678890884,0,0.362004886297697,-0.527283090753615,1.45349232093772,"1.6.5",18.9368061043351,-0.702807821940601,25,0.113036040766503,0,"T0",35
"1.6.6.1","Bocoa prouacensis",1992,1992,1993,1,NA,0,0.0333333333333333,"1.6.6",-0.223888563547997,2.47456408884504,0,-0.1869828550542,-0.758808921895722,-1.17020596116025,"1.6.6",44.5716862881257,0.0592374169551371,5,-0.777288214330966,0,"T0",36
"1.6.9.1","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0.05,"1.6.9",0.323353221393907,-0.498471519996813,0,-2.3797536484842,-0.796694966991703,-0.339831761690731,"1.6.9",0,-1.2657401558637,5,-0.777288214330966,0,"T0",37
"1.6.9.2","Symphonia sp. 1",1992,1992,1993,1,NA,0,0,"1.6.9",0.323353221393907,-0.498471519996813,0,-2.3797536484842,-0.796694966991703,-0.339831761690731,"1.6.9",0,-1.2657401558637,15,-0.332126086782231,0,"T0",38
"1.7.10.1","Sterculia pruriens",1992,1992,1993,1,NA,0,0.2,"1.7.10",4.78727897307049,1.04398910650257,0.66009692467759,-5.0516328290969,0.0262741237043335,0.87327540418887,"1.7.10",256.079467405517,6.34670575830615,55,1.44852242341271,0,"T0",39
"1.7.5.1","Bocoa prouacensis",1992,1992,1993,1,NA,0,0.45,"1.7.5",-1.35627391547116,1.05379729259543,0,0.0869059386524995,-0.556750014717157,2.34696556054455,"1.7.5",12.8514994507495,-0.883705057634244,15,-0.332126086782231,0,"T0",40
"1.7.7.1","Iryanthera hostmannii",1992,1992,1993,1,2013,0,0.0589988442822384,"1.7.7",-1.16321735076859,1.19617806908844,0,0.188981016208501,-0.830371451521464,3.44712986902739,"1.7.7",51.6967383023148,0.271043047618101,5,-0.777288214330966,0,"T0",41
"1.7.7.2","Virola michelii",1992,1992,1993,1,2016,0,0.02,"1.7.7",-1.16321735076859,0.058188173692755,0,0.188981016208501,-0.830371451521464,3.44712986902739,"1.7.7",51.6967383023148,0.271043047618101,5,-0.777288214330966,0,"T0",42
"1.7.9.1","Sterculia pruriens",1992,1992,1993,1,2013,0,0.159187271062271,"1.7.9",-1.30710108254783,0.295324144775478,0,0.550563755783401,-0.733551558498401,0.448197795113004,"1.7.9",99.6277057073529,1.69588159746909,25,0.113036040766503,0,"T0",43
"1.8.6.3","Symphonia sp. 1",1992,1992,1993,1,NA,0,0.1,"1.8.6",-0.976360389382627,0.217025752061013,0.097647474064731,-0.271369984927802,-0.365215008954141,1.79409200541036,"1.8.6",12.8966826942114,-0.882361900369176,25,0.113036040766503,0,"T0",44
"1.8.6.4","Bocoa prouacensis",1992,1992,1993,1,2016,0,0.101318697123519,"1.8.6",-0.976360389382627,0.498472410669934,0.097647474064731,-0.271369984927802,-0.365215008954141,1.79409200541036,"1.8.6",12.8966826942114,-0.882361900369176,5,-0.777288214330966,0,"T0",45
"1.8.7.1","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0.06,"1.8.7",-0.871607932208465,0.107767661451822,0,0.239329048672602,-0.800904527557923,1.09094123895442,"1.8.7",79.2015119795289,1.0886744029181,15,-0.332126086782231,0,"T0",46
"1.8.8.1","Symphonia sp. 1",1992,1992,1993,1,2008,0,0.115134598254053,"1.8.8",-0.551580199335028,0.0955131678890884,0,0.222386893533802,-0.283128577912848,1.44147274539478,"1.8.8",96.8969872179568,1.61470583192271,5,-0.777288214330966,0,"T0",47
"1.8.8.3","Jacaranda copaia",1992,1992,1993,1,2002,0,0.258105691056911,"1.8.8",-0.551580199335028,0.0955131678890884,0,0.222386893533802,-0.283128577912848,1.44147274539478,"1.8.8",96.8969872179568,1.61470583192271,55,1.44852242341271,0,"T0",48
"1.8.8.4","Virola michelii",1992,1992,1993,1,NA,0,0.0866666666666667,"1.8.8",-0.551580199335028,0.318161771148721,0,0.222386893533802,-0.283128577912848,1.44147274539478,"1.8.8",96.8969872179568,1.61470583192271,5,-0.777288214330966,0,"T0",49
"1.8.9.1","Bocoa prouacensis",1992,1992,1993,1,NA,0,0.02,"1.8.9",-1.33922482642961,0.297909590225369,0,-3.1900502112055,-0.834581012087684,-1.45625138934183,"1.8.9",0,-1.2657401558637,5,-0.777288214330966,0,"T0",50
"1.9.10.4","Symphonia sp. 1",1992,1992,1993,1,2002,0,0.115134598254053,"1.9.10",0.318626658703393,0.0955131678890884,-0.0039058989625892,-2.2097692347985,-0.824057110672134,-0.95807761755756,"1.9.10",45.2484005691458,0.0793540273019333,5,-0.777288214330966,0,"T0",51
